"Station","Depth","Temp"
47,0,14.5
47,8,14.51
47,10,14.5
47,20,14.46
47,24,14.44
47,30,14.36
47,45,14.08
47,50,14
47,69,13.45
47,75,13.05
47,93,11.69
47,100,11.22
47,125,9.85
47,138,9.32
47,150,9.09
47,183,8.8
47,200,8.63
47,250,8.15
47,277,7.9
47,300,7.64
47,371,6.89
47,400,6.67
47,500,6.04
47,558,5.77
47,600,5.56
47,700,5.1
47,800,4.7
47,831,4.59
47,900,4.38
47,1000,4.07
47,1100,3.76
47,1152,3.6
48,0,14.7
48,9,14.59
48,10,14.58
48,20,14.52
48,26,14.46
48,30,14.37
48,48,13.87
48,50,13.81
48,74,13.07
48,75,13.04
48,100,12.28
48,125,11.27
48,150,10.26
48,200,8.83
48,250,8.22
48,300,7.96
48,302,7.96
48,400,7.27
48,403,7.25
48,500,6.4
48,600,5.57
48,606,5.52
48,700,5.06
48,800,4.68
48,895,4.42
48,900,4.41
48,1000,4.14
48,1100,3.87
48,1200,3.61
48,1232,3.52
50,0,14.6
50,8,14.59
50,10,14.59
50,20,14.59
50,23,14.59
50,30,14.58
50,43,14.57
50,50,14.47
50,66,14.05
50,75,13.67
50,89,13.01
50,100,12.57
50,125,11.69
50,132,10.57
50,150,10.98
50,175,10.43
50,200,10.14
50,250,9.74
50,262,9.68
50,300,9.19
50,349,8.54
50,400,8.04
50,500,7.2
50,521,7.05
50,600,6.38
50,700,5.62
50,757,5.22
50,800,5.03
50,900,4.58
50,1000,4.12
50,1001,4.12
51,0,14.65
51,9,14.64
51,10,14.63
51,20,14.5
51,26,14.4
51,30,14.36
51,49,14.02
51,50,13.98
51,75,12.69
51,100,11.05
51,101,10.99
51,125,10.03
51,150,9.45
51,199,9.05
51,200,9.04
51,250,8.74
51,300,8.43
51,302,8.42
51,400,7.53
51,405,7.48
51,500,6.68
51,600,5.94
51,609,5.88
51,700,5.39
51,800,4.94
51,900,4.57
51,1000,4.23
51,1100,3.89
51,1200,3.55
51,1232,3.44
53,0,14.68
53,8,14.67
53,10,14.67
53,20,14.69
53,23,14.7
53,30,14.59
53,44,14.34
53,50,14.32
53,66,14.26
53,75,14.14
53,89,13.8
53,100,13.2
53,125,11.69
53,131,11.29
53,150,10.48
53,173,9.72
53,200,9.12
53,250,8.49
53,258,8.45
53,300,8.38
53,343,8.3
53,400,7.76
53,500,6.63
53,513,6.47
53,600,5.87
53,700,5.33
53,765,5.06
53,800,4.94
53,900,4.58
53,1000,4.23
53,1100,3.88
53,1113,3.83
55,0,15.3
55,9,15.22
55,10,15.21
55,20,15.09
55,25,15.01
55,30,14.95
55,47,14.51
55,50,14.34
55,72,12.87
55,75,12.67
55,98,11.33
55,100,11.26
55,125,10.57
55,145,10.33
55,150,10.28
55,192,10.01
55,200,9.91
55,250,9.23
55,290,8.64
55,300,8.53
55,387,7.72
55,400,7.6
55,500,6.73
55,582,6.09
55,600,5.97
55,700,5.38
55,800,4.88
55,865,4.61
55,900,4.49
55,1000,4.15
55,1100,3.81
55,1199,3.48
104,0,14.7
104,10,14.5
104,13,14.39
104,20,14.38
104,26,14.37
104,30,14.37
104,48,14.38
104,50,14.38
104,69,14.36
104,75,14.16
104,92,13.38
104,100,12.92
104,125,11.5
104,134,10.98
104,150,10.27
104,176,9.34
104,200,8.79
104,250,7.98
104,262,7.86
104,300,7.29
104,352,6.62
104,400,6.18
104,500,5.52
104,531,5.38
104,600,5.09
104,700,4.75
104,798,4.49
104,800,4.48
104,900,4.18
104,1000,3.88
104,1085,3.62
146,0,15.33
146,9,15.29
146,10,15.28
146,20,15.18
146,22,15.15
146,30,15.01
146,43,14.75
146,50,14.63
